"id","tau_hat_log","trade_share","trade_share_normalized","trade_share_normalized_log","importer","exporter","distance","border","importer_is_OECD","exporter_is_OECD"
"BEL ITA",0.550318357623786,0.05555863,0.273894265135792,-1.29501314073518,"BEL","ITA",1174.904,"0",1,1
"BEL JAM",1.13207575678361,3.980195e-08,1.96216606604978e-07,-15.4440466521892,"BEL","JAM",7861.621,"0",1,0
"BEL JPN",0.567442666476108,0.02536681,0.125053907624959,-2.07901037364646,"BEL","JPN",9463.263,"0",1,1
"BEL KEN",1.99598602366606,7.934121e-05,0.000391138197754958,-7.84644961348294,"BEL","KEN",6564.938,"0",1,0
"BEL KOR",1.36828991528606,0.003333215,0.0164321631574536,-4.10851469659416,"BEL","KOR",8722.114,"0",1,1
"BEL LKA",2.02081270108298,0.00137831,0.0067948256567758,-4.9915938892835,"BEL","LKA",8404.442,"0",1,0
"BEL MLI",1.88907689064195,7.184253e-05,0.000354171025452681,-7.94573063874903,"BEL","MLI",4392.599,"0",1,0
"BEL MUS",2.59887334798027,0.0003283024,0.00161847303632787,-6.42627214440442,"BEL","MUS",9453.362,"0",1,0
"BEL MWI",2.1969083553279,7.419084e-06,3.65747780346764e-05,-10.2161516798482,"BEL","MWI",7760.549,"0",1,0
"BEL NLD",0.448252275093445,0.1595258,0.786434110437916,-0.240246335660167,"BEL","NLD",173.0333,"1",1,0
"BEL NOR",0.237051354163685,0.002419091,0.0119256927635114,-4.42906015051887,"BEL","NOR",1087.773,"0",1,1
"BEL NPL",1.62176489042916,5.391573e-05,0.000265795057358502,-8.2327850071985,"BEL","NPL",7053.249,"0",1,0
"BEL NZL",1.12759881629103,0.0008969211,0.00442166312540979,-5.42123938094821,"BEL","NZL",19011.83,"0",1,1
"BEL PAK",2.16863954864496,0.001470595,0.00724977446055401,-4.92678491948855,"BEL","PAK",5752.112,"0",1,0
"BEL PHL",1.63753943126816,0.0006100764,0.00300756925170202,-5.80662308404571,"BEL","PHL",10515.8,"0",1,0
"BEL PRT",0.98459415177055,0.005816339,0.0286735273383388,-3.55178097427458,"BEL","PRT",1711.396,"0",1,0
"BEL RWA",1.79889231957185,2.873701e-06,1.41668400321425e-05,-11.1646065332139,"BEL","RWA",6359.996,"0",1,0
"BEL SEN",2.1419339579574,7.991436e-05,0.000393963726355332,-7.83925171799258,"BEL","SEN",4479.534,"0",1,0
"BEL SLE",1.98435605047734,0.0007484996,0.00368997125912634,-5.60213660981469,"BEL","SLE",4983.31,"0",1,0
"BEL SWE",0.424936997014289,0.03052868,0.150501018008647,-1.89378543063903,"BEL","SWE",1283.716,"0",1,1
"BEL THA",1.69798320538773,0.005392623,0.026584682051004,-3.62742009181133,"BEL","THA",9260.542,"0",1,0
"BEL TUN",1.95006950369776,0.003193669,0.0157442259436916,-4.15128158767692,"BEL","TUN",1626.512,"0",1,0
"BEL TUR",1.50934727626268,0.00262833,0.0129572041982381,-4.34610333677468,"BEL","TUR",2179.392,"0",1,1
"BEL USA",0.433635273534523,0.07456046,0.367569941877376,-1.00084166040375,"BEL","USA",5891.711,"0",1,1
"BEL ZMB",1.58731859735622,0.0003820032,0.00188320852662351,-6.27477829373725,"BEL","ZMB",7738.871,"0",1,0
"BEL ZWE",1.81164972288485,0.0001263155,0.000622713177912417,-7.38142453377178,"BEL","ZWE",8076.018,"0",1,0
"BEN AUS",1.56020330501488,8.273727e-05,0.000183810603515844,-8.60160465919615,"BEN","AUS",15588.36,"0",0,1
"BEN AUT",1.73171336593048,0.005539341,0.0123062993532426,-4.39764400516395,"BEN","AUT",4835.427,"0",0,1
"BEN BEL",1.96467859098127,0.0167178,0.0371405644331409,-3.29304552572715,"BEN","BEL",4948.318,"0",0,1
"BEN BGD",1.65494379707135,0.0002611902,0.000580264834631647,-7.45202594720521,"BEN","BGD",9512.955,"0",0,0
"BEN CAN",1.51908795466564,0.001985694,0.00441145341800364,-5.42355107057726,"BEN","CAN",8873.83,"0",0,1
"BEN CMR",0.0755404399202732,0.001702603,0.00378253337314473,-5.57736128930176,"BEN","CMR",1037.146,"0",0,0
"BEN DNK",1.10665404553238,0.004723325,0.0104934235665677,-4.5570065450369,"BEN","DNK",5555.601,"0",0,1
"BEN EGY",0.576725046816947,4.299093e-05,9.5509421437369e-05,-9.25628566154911,"BEN","EGY",3995.041,"0",0,0
"BEN ESP",1.60200214804985,0.01867185,0.0414817169729833,-3.18250250368616,"BEN","ESP",3836.723,"0",0,1
"BEN FIN",1.06675545344599,0.0008435957,0.00187414734303381,-6.27960147337205,"BEN","FIN",6273.152,"0",0,1
"BEN FRA",1.88436723323681,0.1403792,0.311868949423535,-1.16517221331053,"BEN","FRA",4726.537,"0",0,1
"BEN GBR",1.374694238129,0.05706195,0.126769851933607,-2.06538202602455,"BEN","GBR",5025.699,"0",0,1
"BEN GRC",1.3190761201252,0.000184131,0.000409068733304541,-7.8016273639513,"BEN","GRC",4117.928,"0",0,1
"BEN IND",1.08959256743148,0.01379522,0.0306477082677956,-3.48519739042981,"BEN","IND",8183.331,"0",0,0
"BEN IRL",1.38821057686865,0.001872134,0.004159166484494,-5.4824405890889,"BEN","IRL",5283.898,"0",0,1
"BEN ITA",1.82745120766665,0.0208141,0.046240978009537,-3.07388890411641,"BEN","ITA",4070.718,"0",0,1
"BEN JPN",1.39244440343056,0.01173166,0.0260632663471091,-3.64722837564979,"BEN","JPN",13561.87,"0",0,1
"BEN KEN",0.448951922262947,0.000129784,0.000288330463002952,-8.15140329465311,"BEN","KEN",3907.287,"0",0,0
"BEN KOR",1.22112070289795,0.04736465,0.105226156263274,-2.25164337590145,"BEN","KOR",12492.37,"0",0,1
"BEN MUS",0.732536863724053,4.866898e-06,1.08123879193748e-05,-11.4348180515982,"BEN","MUS",6701.087,"0",0,0
"BEN NLD",1.8262556048223,0.03488268,0.0774959877579965,-2.55752911482755,"BEN","NLD",5118.854,"0",0,0
"BEN NOR",0.909329120516316,0.000222255,0.000493765695730761,-7.6134494534324,"BEN","NOR",5996.984,"0",0,1
"BEN PAK",1.12236365518183,0.005379545,0.0119512936925601,-4.42691574767254,"BEN","PAK",7829.728,"0",0,0
